ticket_id,client_id,category,ticket_time,billable_hours
T-0001,C001,how-to,2024-04-05T10:00:00Z,2
T-0002,C001,how-to,2024-04-12T12:00:00Z,3
T-0003,C001,how-to,2024-04-19T15:00:00Z,4
T-0004,C001,how-to,2024-04-25T09:00:00Z,5
T-1001,C002,how-to,2024-03-03T09:30:00Z,6
T-2001,C003,implementation,2024-03-10T11:00:00Z,8
T-3001,C004,security-review,2024-03-12T08:15:00Z,5
T-4001,C005,how-to,2024-03-14T14:45:00Z,2
T-5001,C006,training,2024-03-18T13:00:00Z,4
T-6001,C007,how-to,2024-03-20T16:30:00Z,1
T-7001,C008,how-to,2024-03-22T10:10:00Z,2

